Period,Year,FlyingDate_DDMMYYYY,PhotoNo,Easting_HK80,Northing_HK80,FlyingHeight_ft,DownloadLink
1,2010,3/11/2010,CS30256,839659.8,816643.7,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30256&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30257,840107.9,816659.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30257&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30258,840556.9,816669.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30258&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30259,841005.9,816671.9,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30259&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30260,841506,816666.1,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30260&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30261,841951,816657.3,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30261&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30262,842397,816647.5,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30262&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30288,842373.8,815936,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30288&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30289,841922.8,815937.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30289&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30290,841426.6,815940.6,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30290&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30291,840979.6,815942.5,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30291&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30292,840531.6,815945.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30292&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30293,840081.6,815949.3,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30293&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30294,839631.6,815953.1,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30294&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30423,839632.4,815293.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30423&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30424,840089.4,815289.5,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30424&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30425,840578.5,815281.7,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30425&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30426,841029.6,815273.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30426&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30427,841482.6,815267,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30427&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30428,841936.6,815263.2,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30428&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30429,842392.6,815261.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30429&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30462,842371.4,814573.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30462&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30463,841923.4,814578.6,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30463&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30464,841578.6,814583.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30464&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30465,841230.8,814587.3,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30465&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30466,840882,814592.2,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30466&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30467,840534.3,814597.1,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30467&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30468,840184.5,814601.9,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30468&productFormat=JPEG&locale=en
1,2010,3/11/2010,CS30469,839834.7,814607.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS30469&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36385,842453.8,815782,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36385&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36386,841948.8,815781.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36386&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36387,841454.2,815770.6,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36387&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36388,840949.2,815781.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36388&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36389,840444.2,815792.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36389&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36390,839949.5,815803.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36390&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36467,842454.1,815139.8,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36467&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36468,841949.1,815150.6,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36468&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36469,841454.4,815150.4,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36469&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36470,840949.4,815150.3,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36470&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36471,840444.4,815150.1,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36471&productFormat=JPEG&locale=en
2,2012,7/6/2012,CS36472,839949.7,815138.9,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS36472&productFormat=JPEG&locale=en
2,2013,19/10/2013,CS46528,839939.3,816434.5,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS46528&productFormat=JPEG&locale=en
2,2013,19/10/2013,CS46529,840434,816434.6,6000,https://open.hkmapservice.gov.hk/OpenData/productView?productName=DAP&sheetName=CS46529&productFormat=JPEG&locale=en
