TreeID,Easting_hk80,Northing_hk80,Eng,Zone,Zone1,Zone2,Zone3,PedestrianWidth,TrafficLane,DistanceFromBuilding,InsolationAnnual,NewlyPlanted,Native,Palm,C_burmannii,X_chrysanthus,B_blakeana,F_benjamina,Dist_ClosestTree,TreeDensity,Closest_samespecies,DBH_ClosestTree,DBH,Standardised_DBH
1,840424.68,816285.5,Chukrasia tabularis,2,0,1,0,9.981871544,4,8.64,1428.433868,0,0,0,0,0,0,0,5.72,24.89,1,30,31,0.593
2,840419.66,816288.25,Chukrasia tabularis,2,0,1,0,7.377103963,4,5.89,1383.563352,0,0,0,0,0,0,0,5.55,24.89,1,31,30,0.451
3,840414.84,816291,Chukrasia tabularis,2,0,1,0,6.304574914,4,4.77,1502.697703,0,0,0,0,0,0,0,5.55,24.89,1,30,31,0.593
4,840220.76,816268.4,Wodyetia bifurcata,2,0,1,0,11.12198093,4,10.31,948.3060968,1,0,1,0,0,0,0,20.7,24.89,0,26,20,0.537
5,840232.51,816285.44,Ailanthus fordii,2,0,1,0,9.333864297,4,8.62,803.7746274,1,1,0,0,0,0,0,5.72,24.89,1,32,26,-0.837
6,840236.48,816289.56,Ailanthus fordii,2,0,1,0,8.13838346,4,7.4,513.5498227,1,1,0,0,0,0,0,5.61,24.89,1,29,32,0.375
7,840240.82,816293.11,Ailanthus fordii,2,0,1,0,6.295324066,4,5.57,444.9190944,1,1,0,0,0,0,0,5.61,24.89,1,32,29,-0.231
8,840253.2,816301.79,Wodyetia bifurcata,2,0,1,0,5.357338093,4,4.67,945.0389672,1,0,1,0,0,0,0,5.02,24.89,0,35,20,0.537
9,840257.59,816304.22,Ailanthus fordii,2,0,1,0,5.154201045,4,4.46,708.6966512,1,1,0,0,0,0,0,4.71,24.89,1,31,35,0.982
10,840261.77,816306.39,Ailanthus fordii,2,0,1,0,4.867542202,4,4.21,754.4588796,0,1,0,0,0,0,0,4.71,24.89,1,35,31,0.173
11,840254.21,816152.35,Ficus microcarpa,2,0,1,0,4.038790173,2,3.33,682.9252371,0,1,0,0,0,0,0,10.61,101.43,0,48,36,-0.317
12,840253.41,816141.77,Ficus benjamina,2,0,1,0,4.906175024,2,4.12,697.918632,0,0,0,0,0,0,1,10.61,101.43,0,36,48,0.925
13,840253.78,816131.02,Tabebuia argentea,2,0,1,0,4.592870893,2,3.75,765.4938842,0,0,0,0,0,0,0,5.8,101.43,0,16,9,2.732
