TreeID,Easting_hk80,Northing_hk80,Latitude,Longitude,DBH_cm,SpeciesEng,SpeciesChi,FamilyEng,FamilyChi,GenusEng,GenusChi,Origin
1,840424.68,816285.5,22.28545,114.21721,31,Chukrasia tabularis,³Â·¯,Meliaceae,·¯¬ì,Chukrasia,³Â·¯ÄÝ,Exotic
2,840419.66,816288.25,22.28548,114.21716,30,Chukrasia tabularis,³Â·¯,Meliaceae,·¯¬ì,Chukrasia,³Â·¯ÄÝ,Exotic
3,840414.84,816291,22.2855,114.21711,31,Chukrasia tabularis,³Â·¯,Meliaceae,·¯¬ì,Chukrasia,³Â·¯ÄÝ,Exotic
4,840220.76,816268.4,22.2853,114.21523,20,Wodyetia bifurcata,ª°§À·¦¤l,Arecaceae,´ÄÃq¬ì,Wodyetia,ª°§À·¦ÄÝ,Exotic
5,840232.51,816285.44,22.28545,114.21534,26,Ailanthus fordii,±`ºñ¯äÝÏ,Simaroubaceae,­W¤ì¬ì,Ailanthus,¯äÝÏÄÝ,Native
6,840236.48,816289.56,22.28549,114.21538,32,Ailanthus fordii,±`ºñ¯äÝÏ,Simaroubaceae,­W¤ì¬ì,Ailanthus,¯äÝÏÄÝ,Native
7,840240.82,816293.11,22.28552,114.21543,29,Ailanthus fordii,±`ºñ¯äÝÏ,Simaroubaceae,­W¤ì¬ì,Ailanthus,¯äÝÏÄÝ,Native
8,840253.2,816301.79,22.2856,114.21555,20,Wodyetia bifurcata,ª°§À·¦¤l,Arecaceae,´ÄÃq¬ì,Wodyetia,ª°§À·¦ÄÝ,Exotic
9,840257.59,816304.22,22.28562,114.21559,35,Ailanthus fordii,±`ºñ¯äÝÏ,Simaroubaceae,­W¤ì¬ì,Ailanthus,¯äÝÏÄÝ,Native
10,840261.77,816306.39,22.28564,114.21563,31,Ailanthus fordii,±`ºñ¯äÝÏ,Simaroubaceae,­W¤ì¬ì,Ailanthus,¯äÝÏÄÝ,Native
11,840254.21,816152.35,22.28425,114.21555,36,Ficus microcarpa,º_¾ð,Moraceae,®á¬ì,Ficus,º_ÄÝ,Native
12,840253.41,816141.77,22.28416,114.21555,48,Ficus benjamina,««¸­º_,Moraceae,®á¬ì,Ficus,º_ÄÝ,Exotic
13,840253.78,816131.02,22.28406,114.21555,9,Tabebuia argentea,»ÈÅìª÷¹a¤ì,Bignoniaceae,µµß»¬ì,Tabebuia,¶ÀÄÁ¤ìÄÝ,Exotic
14,840254.47,816125.26,22.28401,114.21556,16,Cinnamomum burmannii,³±­»,Lauraceae,¼Ì¬ì,Cinnamomum,¼ÌÄÝ,Native
15,840258.18,816111.34,22.28388,114.21559,7,Xanthostemon chrysanthus,ª÷»Z®ç,Myrtaceae,®çª÷®Q¬ì,Xanthostemon,ª÷ÅÕ¤ìÄÝ,Exotic
16,840260.5,816106.15,22.28383,114.21562,15,Heteropanax fragrans,·E³Ê·¬,Araliaceae,¤­¥[¬ì,Heteropanax,·E³Ê·¬ÄÝ,Exotic
17,840264.79,816099.75,22.28378,114.21566,7,Xanthostemon chrysanthus,ª÷»Z®ç,Myrtaceae,®çª÷®Q¬ì,Xanthostemon,ª÷ÅÕ¤ìÄÝ,Exotic
