TreeID,dap2010,lidar2010,dap2012,dap2015,dap2017,lidar2017,dap2019,dap2021,lidar2020,ndvi2017,ndvi2019,ndvi2020,structuraldrop2012,structuraldrop2015,structuraldrop2017,structuraldrop2019,structuraldrop2021,groundtruth,spectraldrop2019,spectraldrop2021,groundtruth2
1,2.459,7.384,4.984,3.632,5.557,9.479,7.248,6.353,7.987,0.402,0.409,0.427,0,0,0,0,0,NC,0,0,
2,4.495,6.929,5.259,5.105,5.959,9.346,7.512,8.622,7.138,0.343,0.332,0.466,0,0,0,0,0,,0,0,
3,4.16,6.336,4.051,3.857,4.35,8.92,7.144,8.269,7.934,0.409,0.292,0.505,0,0,0,0,0,,0,0,
4,7.672,9.184,6.009,12.743,4.193,5.747,2.729,5.186,5.787,0.331,0.059,0.334,0,0,1,0,0,2017,0,0,
5,6.754,13.448,3.113,1.317,3.784,13.761,7.137,4.337,14.032,0.283,0.148,0.436,0,0,0,0,0,,0,0,
6,6.929,13.16,4.981,1.833,3.584,13.909,8.076,4.957,11.655,0.463,0.25,0.358,0,0,0,0,0,,0,0,
7,6.546,5.193,5.219,4.067,4.978,14.517,7.526,5.404,12.628,0.341,0.217,0.365,0,0,0,0,0,,0,0,
8,8.492,9.39,2.723,NA,7.12,4.331,2.971,4.669,4.36,0.254,0.181,0.325,1,0,0,0,0,2012,0,0,
9,8.912,7.342,8.31,10.011,14.344,15.609,9.826,5.185,15.556,0.479,0.303,0.482,0,0,0,0,0,,0,0,
10,6.479,9.947,6.754,9.224,13.352,15.237,9.418,13.708,14.661,0.525,0.265,0.474,0,0,0,0,0,,0,0,
11,8.442,6.086,9.245,8.512,10.05,9.821,9.134,9.306,8.86,0.506,0.467,0.624,0,0,0,0,0,,0,0,
12,9.149,8.115,8.732,8.086,10.945,10.936,10.19,10.393,11.094,0.493,0.359,0.531,0,0,0,0,0,,0,0,
13,NA,NA,8.375,NA,1.95,3.009,2.563,4.2,4.597,0.394,0.211,0.434,0,0,1,0,0,2017,0,0,
14,4.01,2.682,4.049,2.432,4.994,4.467,3.789,3.254,5.203,0.245,0.29,0.514,0,0,0,0,0,,0,0,
15,8.241,8.073,7.784,8.314,2.369,0.739,1.008,2.34,3.552,0.235,0.135,0.535,0,0,1,0,0,2017,0,0,
16,9.381,5.185,7.509,7.242,6.727,5.836,1.886,5.828,5.422,0.368,0.374,0.581,0,0,0,0,0,,0,0,
17,7.488,5.376,3.885,6.371,2.506,0.967,0.929,1.469,2.153,0.264,0.077,0.275,0,0,0,0,0,,0,0,
18,6.363,5.562,4.823,5.337,2.732,0.409,2.544,1.081,5.58,0.149,0.331,0.206,0,0,0,0,0,,0,0,
19,4.273,5.761,5.976,9.647,2.399,0.344,3.037,2.2,5.015,0.134,0.101,0.345,0,0,1,0,0,,0,0,
20,8.598,8.893,5.142,3.062,2.434,11.181,7.384,9.369,9.354,0.175,0.278,0.461,0,0,0,0,0,,0,0,
21,6.711,6.856,6.027,4.165,3.55,10.345,8.719,10.709,10.384,0.225,0.241,0.407,0,0,0,0,0,,0,0,
22,8.837,5.482,6.573,5.324,5.129,8.177,3.058,5.839,4.939,0.216,0.105,0.307,0,0,0,0,0,,0,0,
23,8.851,4.888,5.48,3.322,5.524,6.037,2.389,4.524,4.713,0.271,0.1,0.374,0,0,0,0,0,,0,0,
24,9.722,4.514,6.25,4.938,4.998,6.259,6.376,6.179,5.961,0.279,0.178,0.133,0,0,0,0,0,,0,0,
25,8.615,5.501,6.657,5.632,4.461,7.051,6.596,6.657,6.228,0.329,0.268,0.259,0,0,0,0,0,,0,0,
26,4.845,6.889,7.853,0.889,2.224,0.556,1.288,1.607,2.42,0.301,0.058,0.259,0,1,0,0,0,2015,0,0,NC
27,4.23,4.288,5.972,1.69,2.883,4.493,3.515,5.471,5.833,0.244,0.279,0.246,0,0,0,0,0,,0,0,
28,2.554,5.064,4.071,0.511,1.697,5.24,0.939,3.1,3.3,0.167,0.108,0.2,0,0,0,0,0,,0,0,
29,2.684,2.954,4.519,0.287,1.938,4.044,1.376,4.16,3.278,0.25,-0.058,0.102,0,0,0,0,0,,1,0,NC
30,1.273,3.799,3.564,0.424,1.714,4.844,5.468,2.95,3.443,0.131,0.01,0.314,0,0,0,0,0,,0,0,
31,2.521,4.075,5.284,4.907,3.538,4.722,4.838,2.564,5.532,0.192,-0.154,0.075,0,0,0,0,0,2017,1,0,
32,2.149,3.73,2.271,1.074,1.993,4.822,1.031,1.34,3.513,0.347,-0.092,0.156,0,0,0,0,0,,1,0,
33,2.696,3.597,3.468,1.594,1.94,5.728,0.786,1.648,3.234,0.271,-0.012,0.355,0,0,0,0,0,,0,0,2019
34,3.617,3.144,2.32,0.713,1.558,3.339,0.287,1.816,2.715,0.36,-0.141,0.103,0,0,0,0,0,,1,0,
35,3.687,3.774,2.775,0.621,1.71,4.806,0.15,1.25,0.873,0.32,0.07,0.062,0,0,0,0,0,,0,0,
36,1.617,2.05,2.509,0.702,1.557,3.798,0.322,1.082,2.937,0.228,0.006,0.127,0,0,0,0,0,,0,0,
37,3.14,3.945,2.12,0.895,2.684,6.161,0.473,4.807,3.373,0.308,0.265,0.465,0,0,0,0,0,,0,0,
38,2.708,5.006,1.931,1.241,1.501,4.935,0.328,1.858,4.144,0.233,0.187,0.251,0,0,0,0,0,,0,0,
39,1.483,0.028,1.187,0.049,0.847,0,0,0.248,0,0.129,-0.243,-0.104,0,0,0,0,0,,1,0,
40,3.612,4.338,3.284,3.307,3.917,4.603,2.509,4.51,4.795,0.355,0.105,0.314,0,0,0,0,0,,0,0,
41,2.653,4.428,3.24,4.058,4.046,4.989,2.881,4.21,5.102,0.281,0.132,0.263,0,0,0,0,0,,0,0,
42,3.192,4.26,4.292,5.066,4.327,5.246,3.117,4.45,5.059,0.327,0.249,0.291,0,0,0,0,0,,0,0,NC
43,4.922,6.948,4.892,6.858,4.101,7.719,3.808,4.862,5.076,0.369,0.088,0.443,0,0,0,0,0,,0,0,
44,3.075,6.403,3.351,4.409,3.205,7.131,4.023,5.609,6.447,0.505,0.257,0.352,0,0,0,0,0,,0,0,
45,4.284,5.408,3.975,5.838,2.793,5.956,4.533,4.848,5.422,0.21,0.197,0.266,0,0,0,0,0,,0,0,
46,3.723,4.882,3.216,4.927,2.618,4.948,3.267,3.568,2.72,0.262,-0.135,-0.04,0,0,0,0,0,,1,0,2019
47,4.46,3.876,3.14,5.395,3.952,4.382,4.571,4.14,3.335,0.295,0.231,0.264,0,0,0,0,0,,0,0,
48,4.577,9.518,4.722,6.675,4.72,7.223,6.52,6.039,6.618,0.439,0.435,0.294,0,0,0,0,0,,0,0,
49,4.832,9.674,4.904,5.15,4.558,5.881,5.243,5.26,4.297,0.417,0.397,0.282,0,0,0,0,0,,0,0,
50,5.325,5.1,3.994,4.858,2.896,6.142,4.206,3.956,2.133,0.269,0.067,0.339,0,0,0,0,0,,0,0,
51,5.046,6.281,4.065,6.249,2.892,5.364,4.843,5.459,4.241,0.29,0.223,0.175,0,0,0,0,0,,0,0,
52,6.687,5.087,4.71,5.72,3.807,6.42,5.021,5.395,5.959,0.34,0.373,0.279,0,0,0,0,0,NC,0,0,
53,3.791,4.089,3.463,4.559,3.83,3.937,4.307,4.42,4.253,0.371,0.544,0.369,0,0,0,0,0,,0,0,
54,4.809,3.244,3.497,4.195,2.457,3.293,4.464,3.89,3.374,0.346,0.078,0.105,0,0,0,0,0,,0,0,
55,6.453,4.785,5.292,5.529,3.946,5.84,4.541,5.268,4.817,0.348,0.375,0.272,0,0,0,0,0,,0,0,
56,4.52,5.229,4.13,5.712,4.413,7.304,6.232,6.531,6.498,0.434,0.577,0.17,0,0,0,0,0,,0,1,NC
57,4.209,4.233,3.122,4.708,3.024,5.693,4.191,5.053,5.357,0.385,0.406,0.371,0,0,0,0,0,,0,0,
58,4.365,4.688,2.988,4.765,2.632,4.694,4.502,4.608,5.118,0.42,0.474,0.385,0,0,0,0,0,,0,0,
59,4.994,11.544,6.717,8.358,11.169,11.651,5.657,9.873,11.426,0.292,0.21,0.393,0,0,0,0,0,,0,0,
60,7.849,7.336,8.867,7.801,10.161,10.251,7.299,11.884,11.4,0.364,0.358,0.464,0,0,0,0,0,,0,0,
61,8.333,12.188,9.284,8.717,8.341,12.147,7.409,11.946,12.9,0.399,0.198,0.479,0,0,0,0,0,,0,0,
62,3.306,8.451,3.308,4.299,2.168,11.203,2.667,8.253,6.123,0.261,0.026,0.494,0,0,0,0,0,,0,0,
63,6.193,9.297,7.622,4.138,10.373,12.652,2.821,1.237,3.214,0.351,0.1,0.104,0,0,0,1,0,,0,0,
64,7.19,14.08,6.018,6.306,10.453,19.138,12.761,18.247,16.98,0.44,0.045,0.368,0,0,0,0,0,,1,0,NC
65,5.008,4.129,5.465,NA,3.035,5.786,1.378,1.713,2.592,0.44,0.085,0.249,0,0,0,0,0,,1,0,2019
66,NA,NA,3.845,NA,5.054,8.971,4.011,4.318,8.215,0.379,0.412,0.451,0,0,0,0,0,,0,0,NC
67,NA,NA,3.229,NA,4.945,7.708,1.692,5.19,7.004,0.311,0.176,0.402,0,0,0,0,0,,0,0,
68,5.057,5.812,3.06,NA,4.233,6.307,1.223,3.104,4,0.337,0.055,0.539,0,0,0,0,0,,0,0,
69,8.663,3.036,4.24,NA,5.558,3.695,1.66,2.172,3.285,0.35,0.178,0.372,0,0,0,0,0,,0,0,
70,9.272,9.561,14.88,11.058,12.143,12.111,17.135,11.873,12.88,0.441,0.243,0.285,0,0,0,0,0,,0,0,
71,8.177,8.83,6.433,7.243,11.288,10.729,14.794,10.519,11.149,0.422,0.255,0.317,0,0,0,0,0,,0,0,
72,9.723,8.931,9.087,11.167,11.202,11.998,13.092,9.937,11.851,0.422,0.21,0.404,0,0,0,0,0,,0,0,NC
73,10.699,9.222,9.288,12.049,11.25,11.284,15.865,9.632,11.607,0.356,0.182,0.375,0,0,0,0,0,,0,0,
74,9.447,9.309,11.61,8.481,11.312,10.501,10.574,10.008,11.231,0.357,0.07,0.323,0,0,0,0,0,NC,0,0,
